1;Aulnay de Saintonge;11-12-13-14-15-16-28-2-6
2;Brousse le Château
3;Abbayes de Caen
4;Cathédrale de Chartres
5;Abbaye de Fontdouce;5-31-34-33
6;Saint Pierre de Chauvigny;11-12-13-14-15-16-28-2-6
7;Cîteaux;5-30-28-29
11;Abbaye Royale du Moncel;5-30-31-32
12;Civray;11-12-13-14-15-16-28-2-6
15;Dampierre sur Boutonne
19;Saint Hérie de Matha;2-6
18;Saint Pierre de Marestay;2-6
17;Saint Pierre de Maillezais;5-26
16;Saint Nicolas d'Ercuis
22;Notre Dame de Paris;28
20;Saint Nicolas de Maillezais;11-12-13-14-15-16-28
21;Montmorillon
26;Benet;2-6
27;Notre Dame de Lusignan;2-6
28;Maillé;2-6
29;Nouaillé-Mauperthuis;12-13-14-15-16-2-6
30;Notre Dame la Grande de Poitiers;11-12-13-14-15-16-28-2-6
31;Sainte Chapelle
32;Précy sur Oise
33;Abbatiale de Saint Leu d'Esserent;12-13-14-15-16-28-2-6-3
34;Abbaye de Royaumont;5-30-31-32
35;Cathédrale de Senlis;28
36;Basilique de Vézelay
48;Saint Benoît sur Loire;2-6-11-12-13-15-16
38;Provins
39;Cathédrale de Reims
40;Abbaye aux Dames de Saintes;5-2-6-13-15-16
41;Saint Savin sur Gartempe
42;Abbaye de Sénanque;5-30-31-32-28-29
43;Abbaye de Silvacane;5-30-31-32
44;Abbaye de Sylvanès;5-30-31-32
45;Abbaye du Thoronet;5-30-31-32
46;Saint Mandé sur Bredoire;2-6
49;Abbaye Royale de Nieul sur l'Autise;5-31-32
50;Vouvant;11-12-13-14-15-16-2-6
51;Saint Eutrope Eglise Basse;2-6
52;Saint Eutrope Eglise Haute;2-6
53;Hospices de Beaune
54;Couvertoirade
55;Saint Eustache
56;Saint Amand de Coly;2-6
57;Abbaye Cisterciene de Boschaud;5-30-26
58;Abbaye Cistercienne de Cadouin;5-30-31-32
60;Saint Martial de Paunat;2-6
61;Abbaye Bénédictine de Brantome;5-31-32-28
62;Cénac-et-Saint-Julien;2-6-12-13-15-16
63;Saint Léon sur Vézère;2-6
65;Eglise de Thiviers;12-13-14-15-16-2-6
66;Audrix;2-6
67;Auvers sur Oise
68;Cathédrale Saint Pierre de Beauvais
69;Eglise de Belvès;2-6
70;Abbaye Notre-Dame-La-Royale dite de Maubuisson;5-30-31-32
72;Abbaye de Chancelade;5
73;Ancien Prieuré de Merlande;2-6-13-15-16
74;Saint Denis de Méry sur Oise
75;Bastide de Monpazier
76;Notre Dame de Trémolat;2-6
77;Saint Germer de Fly;
87;Facade de StTrophime dArles;2-6-11-12-13-14-15-16
86;Abbaye cistercienne dAiguebelle;5-30-31-32-28-29
85;Melle;11-12-13-14-15-16
88;Eglise StTrophime dArles;11-12-13-14-15-16
89;Cloitre de StTrophime dArles;
90;Saint Honorat des Alyscamps;2-6
93;Saint Michel de La Garde Adhémar;2-6
92;Abbaye Notre Dame  de Montmajour;5-31-32-2-6
94;Saint Paul des trois Châteaux;2-6
95;Cathédrale N.D. de Nazareth de Vaison la Romaine;7-6
96;Notre-Dame-de-Bon-Repos de Montfavet;2-6
97;Notre Dame de Boiscommun;
98;Abbaye de Le Lys;5-30-26
99;Palais des Papes dAvignon
100;Pont Saint Benezet
101;Saint-Théodorit, Saint-Etienne, Fenestrelle dUzes;2-6
102;Saint Front de Périgueux;2-6-27
103;Cathédrale Saint-Sardos de Sarlat
104;Sainte Alvère;2-6
105;Saint Etienne de la Cité;2-6
106;Abbaye Notre Dame de la Maigrauge;5-30-31-32-28-29
109;Abbaye de Romainmôtier;2-6
108;Maison dOurscamp;
110;Abbaye Bénédictine de Charroux;5-31-26
112;Saint Pierre de Chatain;2-6
114;Saint Gervais et Saint Protais de Civaux;2-6-12-13-14-15-16
115;Abbaye de lEpau;5-30-31-32
116;Notre Dame de Genouillé;2-6
117;Abbaye de la Réau;5-31
118;Cathédrale Saint Julien du Mans
119;Saint Maurice la Clouère;2-6
120;Saint Pierre dExideuil;2-6
121;Usson de Poitou;11-12-13-14-15-16-2-6
