"Lieu";"Style";;"Type";"Nom";"Rank";"Département";"Source";"Lang";"Présentation";"URL"
"Maillezais";;;"Eglise";"Saint Nicolas";;"Vendée";;;;
"Maillezais";;;"Ancienne Abbaye";"Saint Pierre";;"Vendée";"Conseil Général";"FR";;"http://nieul-maillezais.vendee.fr/ "
"Bonport";;"Cistercien";"Abbaye";"Notre Dame";"*";;"Passion Architecture";"FR";;"http://perso.wanadoo.fr/passion.architecture/imagessite/patrimoine/c.i.bonport.htm"
"Chauvigny";"Saintonge";;"Eglise";"Saint Pierre";"**";"Vienne (86)";"Peach";"FR";;"http://perso.wanadoo.fr/peach/romanes/chausp.htm"
"Civaux";"Saintonge";;;;;"Vienne (86)";"Peach";"FR";;"http://perso.wanadoo.fr/peach/romanes/civaux.htm"
"Poitiers";;;;"Notre Dame La Grande";;"Vienne (86)";"Peach";"FR";;"http://perso.wanadoo.fr/peach/romanes/poitiers%20nd.htm"
"Poitiers";;;;"Notre Dame La Grande";;"Vienne (86)";;"FR";"Présentation et architecture du site";"http://architecture.reli2.free.fr/poitiers_ndg.htm"
"Poitiers";;;;"Notre Dame La Grande";;"Vienne (86)";;"FR";"Sculptures de la façade";"http://www.art-roman.net/poitiersnd.htm"
"Poitiers";;;;"Notre Dame La Grande";;"Vienne (86)";;"FR";"Sculptures de la façade";"http://www.art-roman.net/poitiersnd2.htm"
"Provins";;;;"Saint Quiriace";"***";;"Beloit College";"US";;"http://www.beloit.edu/~arthist/historyofart/gothic/provinsquiriace.htm"
"Beauvais";;;"Cathédrale";"Saint Etienne";"***";"Oise (60)";"Beloit College";"US";;"http://www.beloit.edu/~arthist/historyofart/romanesque/beauvetienne.htm"
"Aulnay";"Saintonge";;"Eglise";"Saint Pierre";;"Vienne (86)";;;;
"Aulnay";"Saintonge";;"Eglise";"Saint Pierre";;"Vienne (86)";;"FR";"Interprétation du protail";"http://pro.wanadoo.fr/quatuor/art_roman_04.htm"
"Chauvigny";"Saintonge";;"Eglise";"Saint Pierre";;"Vienne (86)";;"FR";"Historique";"http://www.angles-gite.com/chauvigny.htm"
"Chauvigny";"Saintonge";;"Eglise";"Saint Pierre";;"Vienne (86)";;"FR";"Extérieur";"http://www.art-roman.net/chauvigny.htm"
"Chauvigny";"Saintonge";;"Eglise";"Saint Pierre";;"Vienne (86)";;"FR";"Intérieur";"http://www.art-roman.net/chauvigny2.htm"
"Chauvigny";"Saintonge";;"Eglise";"Saint Pierre";;"Vienne (86)";;"FR";"Façade";"http://perso.wanadoo.fr/peach/romanes/chausp.htm"
"Chauvigny";"Saintonge";;"Eglise";"Saint Pierre";;"Vienne (86)";;"FR";"Ville";"http://www.francebalade.com/poitou/chauvigny.htm"
"Ercuis";;;"Eglise";"Saint Nicolas";;"Oise (60)";;"FR";" Eglise du XVI eme avec de beaux vitraux. C'est l'ancienne chapelle, dédiée à la Vierge, construite en 1292 par Philippe Le Bel et confiée aux moines de l'abbaye de St Geneviève de Paris. ";
"Saint Bris des Bois";;;"Ancienne Abbaye";"Fondouce";"***";"Charentes Maritime (17)";"Conseil Général";"FR";"Présentation et architecture du site";"http://www.charente-maritime.org/Pays_Saintonge-Romane/patrimoine_roman/Roman_Circuit_01/Roman_Fontdouce.htm"
"Maillezais";;;"Ancienne Abbaye";"Saint Pierre";;"Vendée";;"FR";"Abbaye et histoire";"http://www.paysdelaloire.fr/tourisme/patrimoine/vendee/eglises/maillezais.asp"
"Nouaillé Mauperthuis";;;"Eglise";"Saint Junien";"**";;;"FR";"Extérieur et Intérieur";"http://www.art-roman.net/nouaille.htm"
