"Id";;"Editeur";"Collection/Ref";"Lang";"Titre";"Auteur";"Année";"ISBN";"Image";"URL"
1;;"Zodiaque";"INT 1";"FR;EN";"Glossaire des termes techniques de l'art roman";;;;;
2;;"Zodiaque";"INT 2";"FR";"Bayeux (La tapisserie - édition 2002)";;;;;
3;"G2";"Zodiaque";"INT 3";"FR";"Symboles (Introduction au monde des)";"Gérard de Champeaux";;2736900545;"http://images-eu.amazon.com/images/P/2736900545.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2736900545/ref=ase_enef-21/402-5551720-9281739"
4;;"Zodiaque";"INT 4";"FR";"Evocation";;;;;
5;"G1";"Zodiaque";"INT 6 ";"FR";"Invention de l'architecture romane";"Raymond Oursel";;2736900219;"http://images-eu.amazon.com/images/P/2736900219.08.MZZZZZZZ.jpg";
6;"G2";"Zodiaque";"INT 7 ";"FR";"Floraison de la sculpture romane I";;;2736900936;"http://images-eu.amazon.com/images/P/2736900936.08.MZZZZZZZ.jpg";
7;"G2";"Zodiaque";"INT 8 ";"FR";"Floraison de la sculpture romane II";;;2736900928;"http://images-eu.amazon.com/images/P/2736900928.08.MZZZZZZZ.jpg";
8;;"Zodiaque";"INT 9 ";"FR";"Histoire de l'art français I";;;;;
9;;"Zodiaque";"INT10 ";"FR";"Histoire de l'art français II";;;;;
10;;"Zodiaque";"INT11 ";"FR";"Révélation de la peinture romane";"Raymond Oursel";;2736901444;"http://images-eu.amazon.com/images/P/2736901444.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2736901444/qid=1070961720/sr=1-16/ref=sr_1_0_16/402-5551720-9281739"
11;;"Zodiaque";"INT12 ";"FR";"Routes romanes I La route aux saints";"Raymond Oursel";;2736901495;;"http://www.amazon.fr/gp/product/2736901495/qid=1070961720/sr=1-4/ref=sr_1_0_4/402-5551720-9281739"
12;;"Zodiaque";"INT13 ";"FR";"Routes romanes II La route aux solitudes";"Raymond Oursel";;2736900057;"http://images-eu.amazon.com/images/P/2736900057.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2736900057/qid=1070961720/sr=1-2/ref=sr_1_0_2/402-5551720-9281739"
13;;"Zodiaque";"INT14 ";"FR";"Routes romanes III La garde de Dieu";"Raymond Oursel";;2736900243;"http://images-eu.amazon.com/images/P/2736900243.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2736900243/qid=1070961720/sr=1-1/ref=sr_1_0_1/402-5551720-9281739"
14;"G2";"Zodiaque";"INT15 ";"FR";"Dictionnaire d'iconographie romane";;;2736902432;"http://images-eu.amazon.com/images/P/2736902432.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2736902432/ref=ase_enef-21/402-5551720-9281739"
15;;"Zodiaque";"INT16 ";"FR";"Initiation à l'art des cathédrales";;;;;
16;"G1";"Zodiaque";"INT  ";"FR";"Initiation à l'art roman";"Anne Prache";;2736902882;"http://images-eu.amazon.com/images/P/2736902882.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2736902882/enef-21/402-5551720-9281739"
17;;"Zodiaque";"HC";"FR";"Atlas de la France Romane";"Pauline de la Malène";;2736902173;"http://images-eu.amazon.com/images/P/2736902173.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2736902173/enef-21/402-5551720-9281739"
18;;"Zodiaque";"AET1";"FR";"Terres de Bourgogne";"Raymond Oursel";;2736902165;"http://images-eu.amazon.com/images/P/2736902165.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2736902165/qid=1070961720/sr=1-12/ref=sr_1_0_12/402-5551720-9281739"
19;;"Zodiaque";"AET2";"FR";"Terres de Rouergue";;;;;
20;;"Zodiaque";"NT 4 ";"FR";"Art gaulois ";;;;;
21;;"Zodiaque";"NT16 ";"FR";"Art cistercien";"Anselme Dimier";;2736900685;"http://images-eu.amazon.com/images/P/2736900685.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2736900685/enef-21/402-5551720-9281739"
22;;"Zodiaque";"NT28 ";"FR";"Art scandinave I";;;;;
23;;"Zodiaque";"NT29 ";"FR";"Art scandinave II";;;;;
24;;"Zodiaque";"NT20 ";"FR";"Art irlandais I ";;;;;
25;;"Zodiaque";"NT21 ";"FR";"Art irlandais II ";;;;;
26;;"Zodiaque";"NT22 ";"FR";"Art irlandais III ";;;;;
27;;"Zodiaque";"NT  ";"FR";"Art mozarabe ";;;;;
28;;"Zodiaque";"NT37 ";"FR";"Art préroman hispanique I";;;;;
29;;"Zodiaque";"NT38 ";"FR";"Art préroman hispanique II";;;;;
30;;"Zodiaque";"NT 1 ";"FR";"Bourgogne romane";;;;;
31;;"Zodiaque";"NT 2 ";"FR";"Auvergne romane ";;;;;
32;;"Zodiaque";"NT 3 ";"FR";"Val de Loire roman ";;;;;
33;;"Zodiaque";"NT 5 ";"FR";"Poitou Roman ";;;;;
34;;"Zodiaque";"NT 6 ";"FR";"Touraine romane ";;;;;
35;;"Zodiaque";"NT 7 ";"FR";"Roussillon roman";;;;;
36;;"Zodiaque";"NT 9 ";"FR";"Anjou roman";;;;;
37;;"Zodiaque";"NT10 ";"FR";"Quercy roman";;;;;
38;;"Zodiaque";"NT11 ";"FR";"Limousin roman";;;;;
39;;"Zodiaque";"NT12 ";"FR";"Catalogne romane I   ";;;;;
40;;"Zodiaque";"NT13 ";"FR";"Catalogne romane II";;;;;
41;;"Zodiaque";"NT14 ";"FR";"Angoumois Roman ";;;;;
42;;"Zodiaque";"NT15 ";"FR";"Forez Velay roman";;;;;
43;;"Zodiaque";"NT17 ";"FR";"Rouergue roman ";;;;;
