; This Ascii PoiFile was generated on 29/07/2007 by PoiEdit, ©2002-2007 by Dnote Software (http://www.dnote.nl). All rights reserved.
-0.37323, 49.1815, "[Roman] 14 Caen (aux Hommes)*"
-0.62314, 45.7454, "[Roman] 17 Saintes (Abbaye aux Dames)*"
1.7806, 49.4434, "[Roman-Gothique] 60 Saint-Germer-de-Fly (Saint Germer)"
4.90893, 46.5658, "[Roman] 71 Tournus (Saint Philibert)"
2.63206, 48.5183, "[Cistercien] 77 Dammarie-les-Lys (du Lys)"
0.40445, 46.1433, "[Roman] 86 Charroux (Saint-Sauveur)"
3.71344, 47.9096, "[Cistercien] 89 Pontigny (Notre Dame)"
4.12129, 46.45, "[Roman] 71 Paray-le-Monial (Sacré-Coeur)*"
3.74867, 47.4663, "[Roman] 89 Vézelay (Sainte Madeleine)*"
-0.70382, 49.2757, "[Roman] 14 Bayeux (Notre Dame)*"
0.1515, 45.649, "[Roman] 16 Angoulême (Saint Pierre)"
2.39894, 47.0824, "[Gothique] 18 Bourges (Saint Etienne)*"
0.72287, 45.1838, "[Roman-NeoRoman] 24 Périgueux (Saint Front)"
1.21693, 44.8888, "[Gothique] 24 Sarlat-la-Canéda (Saint Sardos)"
1.48738, 48.4478, "[Roman-Gothique] 28 Chartres (Notre Dame)*"
4.42199, 44.0121, "[Roman] 30 Uzès (Saint-Théodorit)*"
4.03402, 49.2534, "[Roman-Gothique] 51 Reims (Notre Dame)*"
2.08157, 49.4326, "[Roman-Gothique] 60 Beauvais (Saint Pierre)*"
2.58617, 49.2068, "[Gothique] 60 Senlis (Notre Dame)*"
3.08574, 45.7785, "[Roman] 63 Clermont-Ferrand ()"
4.29886, 46.9451, "[Roman] 71 Autun (Saint Lazare)*"
0.19885, 48.0092, "[Roman] 72 Le Mans (Saint Julien)*"
2.30121, 49.8949, "[Gothique] 80 Amiens (Notre Dame)*"
6.7365, 43.433, "[Roman] 83 Fréjus (Saint Léonce)*"
4.80755, 43.9518, "[Roman] 84 Avignon (ND des Doms)"
0.66602, 45.207, "[Benedictin] 24 Chancelade (de l'Abbaye)"
4.83653, 47.0241, "[Médiéval] 21 Beaune (Hospices de Beaune)*"
3.29079, 48.5608, "[Gothic] 77 Provins (Saint Quiriace)*"
3.20902, 48.5362, "[Roman] 77 Saint-Loup-de-Naud (Saint Loup)"
2.03811, 48.9299, "[Roman] 78 Poissy (Notre Dame)"
4.62819, 43.6766, "[Roman] 13 Arles (Saint Trophime)"
-0.36081, 49.1841, "[Roman] 14 Caen (aux Dames)*"
0.20261, 46.0279, "[Roman-Gothique] 16 Ruffec (Saint André)"
-0.6371, 45.7474, "[Roman] 17 Saintes (Saint Eutrope)*"
-0.42495, 45.9239, "[Roman] 17 Varaize (Saint Germain)"
4.22989, 47.2796, "[Roman] 21 Saulieu (Saint Andoche)"
1.00252, 44.7762, "[Roman] 24 Belvès (N.D. de Capelou)"
0.64714, 45.3647, "[Roman] 24 Brantôme (Notre Dame)*"
0.66692, 45.2072, "[Roman] 24 Chancelade (Notre Dame)*"
0.71473, 45.1817, "[Roman] 24 Périgueux (Saint Etienne la Cité)*"
1.08831, 45.0101, "[Roman] 24 Saint-Léon-sur-Vézère (Saint Léon)"
4.41848, 44.0108, "[Roman] 30 Uzès (Saint-Thodorit, Saint-Etienne, Fenestrelle)"
3.17002, 45.3187, "[Roman] 43 Blesle (Saint Pierre)"
3.38452, 45.2937, "[Roman] 43 Brioude (Saint Julien)"
2.92199, 49.2983, "[Roman-Bénédictin] 60 Morienval (Notre Dame)"
3.0897, 45.7808, "[Roman] 63 Clermont-Ferrand (Notre Dame du Port)"
3.25008, 45.5435, "[Roman] 63 Issoire (Saint Austremoine)"
3.04947, 45.7649, "[Roman] 63 Royat (Saint Léger)"
4.4466, 46.6416, "[Roman] 71 Gourdon (Notre-Dame-de-l'Assomption)"
4.48023, 46.6322, "[Roman] 71 Mont-Saint-Vincent (Saint Vincent)"
4.21515, 46.6126, "[Roman] 71 Perrecy-les-Forges (Saint-Pierre-et-Saint-Benoit)"
2.40624, 48.8482, "[Gothique] 75 Paris (Saint Eustache)"
2.63528, 48.5147, "[Cistercien] 77 Dammarie-les-Lys (Notre Dame du Lys)"
2.14035, 48.8635, "[Roman] 78 Bougival (Notre Dame)"
2.15974, 48.8891, "[Roman-Néo-Gothique] 78 Chatou (Notre Dame)"
1.97226, 48.8727, "[Roman-Gothique] 78 Feucherolles (Sainte Geneviève)"
2.114, 48.861, "[Roman] 78 Louveciennes (Notre Dame)"
2.07802, 48.8818, "[Roman-Post-Gothique] 78 Mareil-Marly (Saint Etienne)"
1.97636, 48.9195, "[Roman-Gothique] 78 Orgeval (Saint Pierre et Saint Paul)"
4.81362, 43.9508, "[Roman] 84 Avignon (Saint Benezet)"
0.29676, 46.148, "[Roman] 86 Civray (Saint Nicolas)"
0.12327, 46.4362, "[Roman] 86 Lusignan (Notre Dame)"
0.34401, 46.5833, "[Roman] 86 Poitiers (Notre Dame la Grande)"
3.60089, 47.9036, "[Roman] 89 Seignelay (Saint Martial)"
2.1639, 48.435, "[Roman] 91 Etampes (Notre Dame du Fort)"
2.16112, 48.4359, "[Roman] 91 Etampes (Saint Basile)"
2.13911, 48.4262, "[Roman] 91 Etampes (Saint Martin)"
2.20658, 49.0805, "[Cistercien] 95 Mériel (Notre Dame)"
-0.35563, 46.023, "[Roman nv] 17 Aulnay de Saintonge (Saint Pierre d'Aulnay de Saintonge)*"
-0.45861, 45.7699, "[Roman nv] 17 Saint Bris des Bois (Abbaye de Fontdouce)*"
0.64837, 46.5706, "[Roman nv] 86 Chauvigny (Saint Pierre)*"
5.0549, 47.1147, "[Cistercien nv] 21 Saint Nicolas les Cîteaux (Abbaye de Cîteaux)*"
2.6407, 49.3, "[Cistercien nv] 60 Pontpoint (Abbaye Royale du Moncel)*"
-0.4136, 46.0662, "[Renaissance nv] 17 Dampierre sur Boutonne (Demeure Philosophale de Dampierre sur Boutonne)*"
2.3059, 49.2342, "[Gothique nv] 60 Ercuis (Saint Nicolas d'Ercuis)*"
-0.7391, 46.3714, "[Roman nv] 85 Maillezais (Abbaye Saint Pierre de Maillezais)*"
-0.32, 45.8675, "[Roman nv] 17 Matha (Saint Pierre de Marestay)*"
